#Cell Width (mm), Initial Pressure (atm), Initial Pressure (kPa)
10.7106, 0.009, 0.9117
9.8235, 0.009, 0.9117
8.9322, 0.0091, 0.92183
7.7101, 0.0103, 1.04339
9.0828, 0.0143, 1.44859
7.8413, 0.0144, 1.45872
7.0695, 0.0129, 1.30677
6.263, 0.0139, 1.40807
6.768, 0.0171, 1.73223
5.4993, 0.0186, 1.88418
5.3131, 0.0165, 1.67145
5.3135, 0.0155, 1.57015
5.4537, 0.0144, 1.45872
6.263, 0.014, 1.4182
7.0695, 0.013, 1.3169
4.2439, 0.0154, 1.56002
4.0984, 0.0197, 1.99561
3.9247, 0.021, 2.1273
3.7583, 0.0224, 2.26912
3.001, 0.0273, 2.76549
3.053, 0.0297, 3.00861
2.2552, 0.0381, 3.85953
2.1224, 0.0429, 4.34577
2.3747, 0.0452, 4.57876
2.1591, 0.0488, 4.94344
1.8162, 0.0492, 4.98396
1.7849, 0.0522, 5.28786
1.4627, 0.0658, 6.66554
1.2093, 0.0675, 6.83775
