#Equivalence Ratio, Critical Energy (g tetryl), Critical Energy (J)
0.5, 31.45, 142154.0
0.6, 8.25, 37290.0
0.7, 3.225, 14577.0
0.75, 2.28, 10305.6
0.8, 1.675, 7571.0
0.9, 1.15, 5198.0
0.95, 1.02, 4610.4
1.0, 0.95, 4294.0
1.05, 0.94, 4248.8
1.1, 0.95, 4294.0
1.15, 0.985, 4452.2
1.2, 1.05, 4746.0
1.3, 1.22, 5514.4
1.35, 1.345, 6079.4
1.4, 1.51, 6825.2
1.45, 1.69, 7638.8
1.55, 2.125, 9605.0
1.6, 2.34, 10576.8
1.7, 3.075, 13899.0
1.8, 3.965, 17921.8
1.9, 4.985, 22532.2
2.0, 6.49, 29334.8
2.25, 12.15, 54918.0
2.5, 23.25, 105090.0
3.1, 100.7, 455164.0
