#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
6.05327, 613.347583, 0.020574
6.05848, 613.875486, 0.023621
5.97898, 605.820149, 0.027123
4.09296, 414.719172, 0.031212
2.58038, 261.457004, 0.050065
2.54653, 258.027152, 0.057486
2.2741, 230.423183, 0.052223
2.0336, 206.05452, 0.059177
1.55876, 157.941357, 0.073934
0.99612, 100.931859, 0.109147
0.593228, 60.108827, 0.156805
0.395545, 40.078597, 0.241222
0.204824, 20.753792, 0.398228
0.100407, 10.173739, 0.831744
0.059961, 6.075528, 1.85923
0.051364, 5.204467, 1.86096
0.03936, 3.988193, 2.23064
