#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.054868, 5.5595, 8.8627
0.049684, 5.034231, 7.8311
0.049564, 5.022072, 5.319
0.060364, 6.116382, 5.4615
0.060328, 6.112735, 4.9581
0.048809, 4.945572, 4.3238
0.09424, 9.548868, 2.5477
0.10546, 10.685735, 2.5111
0.09955, 10.086904, 2.0138
0.10087, 10.220653, 1.7538
0.22098, 22.390799, 0.97709
0.24049, 24.367649, 1.0039
0.20601, 20.873963, 1.0049
0.40253, 40.786352, 0.41915
0.40229, 40.762034, 0.38052
0.4971, 50.368658, 0.41862
0.5038, 51.047535, 0.37479
0.60417, 61.217525, 0.30854
1.013, 102.642225, 0.16981
2.0665, 209.388113, 0.081303
3.0156, 305.55567, 0.059858
