#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.0699, 7.08087, 18.9704
0.0775, 7.85075, 16.3393
0.0951, 9.63363, 15.814
0.1041, 10.54533, 15.6462
0.1141, 11.55833, 13.4746
0.1282, 12.98666, 9.4261
0.1268, 12.84484, 9.2096
0.1469, 14.88097, 9.117
0.1593, 16.13709, 7.4959
0.1744, 17.66672, 7.0811
0.1955, 19.80415, 6.3884
0.2602, 26.35826, 4.5812
0.2605, 26.38865, 4.0341
0.2886, 29.23518, 3.7675
0.3124, 31.64612, 3.7704
0.3235, 32.77055, 3.3989
0.3202, 32.43626, 3.0983
0.3585, 36.31605, 3.1017
0.3583, 36.29579, 3.3246
0.3969, 40.20597, 3.141
0.4249, 43.04237, 3.0359
0.3972, 40.23636, 2.8968
0.3843, 38.92959, 2.6399
0.4208, 42.62704, 2.5522
0.435, 44.0655, 2.7365
0.4655, 47.15515, 2.8024
0.4935, 49.99155, 2.3036
0.4562, 46.21306, 2.1475
0.483, 48.9279, 2.028
0.5172, 52.39236, 1.9154
