#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.0598, 6.05774, 42.5743
0.0608, 6.15904, 33.8308
0.0602, 6.09826, 31.5656
0.0724, 7.33412, 27.6094
0.0787, 7.97231, 23.8167
0.0925, 9.37025, 20.8208
0.1029, 10.42377, 16.9654
0.1157, 11.72041, 14.1493
0.1212, 12.27756, 13.6835
0.153, 15.4989, 10.3163
0.1868, 18.92284, 7.7717
0.2176, 22.04288, 6.1241
0.2504, 25.36552, 5.0517
0.2812, 28.48556, 4.5144
0.3431, 34.75603, 3.48
0.3808, 38.57504, 3.145
0.4086, 41.39118, 2.8401
0.4479, 45.37227, 2.718
0.4794, 48.56322, 2.7222
0.521, 52.7773, 2.2948
