#Initial Pressure (atm), Initial Pressure (kPa), Cell Width (mm)
0.0927, 9.39051, 83.1857
0.1063, 10.76819, 56.2537
0.0938, 9.50194, 52.5012
0.1125, 11.39625, 51.9006
0.0993, 10.05909, 42.68
0.129, 13.0677, 28.2055
0.1638, 16.59294, 17.8014
0.1965, 19.90545, 14.9796
0.2279, 23.08627, 12.7509
0.2613, 26.46969, 10.7297
0.2928, 29.66064, 9.8994
0.3281, 33.23653, 7.7745
0.3635, 36.82255, 7.2559
0.3936, 39.87168, 6.3201
0.4263, 43.18419, 6.1764
0.4564, 46.23332, 4.9635
0.4999, 50.63987, 4.6324
0.5353, 54.22589, 4.3734
