#Equivalence Ratio, Critical Charge (kg tetryl), Critical Energy (J)
3.0285, 1.1672, 5275744.0
2.9217, 0.7832, 3540064.0
2.8153, 0.4508, 2037616.0
2.5841, 0.174, 786480.0
2.3472, 0.0602, 272104.0
2.2106, 0.0369, 166788.0
2.1154, 0.0271, 122492.0
2.014, 0.0217, 98084.0
1.9191, 0.0149, 67348.0
1.8118, 0.0114, 51528.0
1.7163, 0.0093, 42036.0
1.6688, 0.0078, 35256.0
1.6151, 0.007, 31640.0
1.5672, 0.0066, 29832.0
1.5012, 0.0063, 28476.0
1.4593, 0.0061, 27572.0
1.4112, 0.0062, 28024.0
1.3511, 0.0062, 28024.0
1.2907, 0.0067, 30284.0
1.2424, 0.0072, 32544.0
1.1878, 0.0083, 37516.0
1.1449, 0.0108, 48816.0
1.0844, 0.0123, 55596.0
1.0233, 0.0167, 75484.0
0.968, 0.0241, 108932.0
0.9187, 0.0349, 157748.0
0.8687, 0.0629, 284308.0
0.8061, 0.1322, 597544.0
0.7491, 0.3236, 1462672.0
0.7046, 0.6655, 3008060.0
0.697, 1.101, 4976520.0
