#Dilution Ratio, Percent Diluent, Cell Width (mm)
3.508, 71.4753, 8.7794
3.4876, 71.3559, 10.828
4.0016, 74.0819, 11.3005
3.9693, 73.9257, 12.2564
4.2446, 75.1973, 11.0802
4.2428, 75.1895, 11.8834
4.2707, 75.3117, 13.0516
4.2532, 75.2353, 14.3248
4.4825, 76.2004, 13.2468
4.4955, 76.2532, 14.377
4.4911, 76.2354, 17.1259
4.7052, 77.0688, 15.8335
4.7014, 77.0544, 18.4259
4.8674, 77.6622, 18.908
4.8653, 77.6548, 20.5166
4.9755, 78.0409, 17.4533
4.988, 78.0838, 19.3895
4.985, 78.0737, 21.7883
5.3651, 79.3057, 20.671
5.3622, 79.2966, 23.2283
5.4959, 79.6979, 25.8522
5.4932, 79.6901, 28.7136
5.693, 80.2623, 25.628
5.6916, 80.2582, 27.1671
5.9776, 81.0235, 29.2625
5.9898, 81.0549, 32.8902
5.9868, 81.0473, 36.9593
6.1284, 81.4038, 30.0213
6.2286, 81.6479, 37.9694
6.3536, 81.9438, 32.6866
6.4887, 82.2531, 34.3178
6.4846, 82.2438, 40.4054
6.225, 81.6394, 43.6738
6.2372, 81.6687, 49.0881
6.3759, 81.9956, 44.8063
6.359, 81.9563, 48.0435
6.4801, 82.2338, 48.1309
6.4775, 82.2278, 53.4582
6.4739, 82.2198, 61.4897
